*r,cs
b117,Moreno2
b117,Panoche1a
b117,Panoche1b
b117,Repetto_Sst1
b117,Repetto_Sst2a
b117,Repetto_Sst2b
b117,Repetto_Sst2c
b117,Repetto_Sst3a
b117,Repetto_Sst3b
b117,Repetto_Sst3c
b117,Repetto_Sst3d
b117,Stevens1
b117,Temblor1a
b117,Temblor1b
b117,Temblor2a
b117,Temblor2b
b117,Temblor3a
b117,Temblor3b
b117,Temblor3c
b118,Moreno2
b118,Panoche1a
b118,Panoche1b
b118,Repetto_Sst1
b118,Repetto_Sst2a
b118,Repetto_Sst2b
b118,Repetto_Sst2c
b118,Repetto_Sst3a
b118,Repetto_Sst3b
b118,Repetto_Sst3c
b118,Repetto_Sst3d
b118,Stevens1
b118,Temblor1a
b118,Temblor1b
b118,Temblor2a
b118,Temblor2b
b118,Temblor3a
b118,Temblor3b
b118,Temblor3c
b119,Moreno2
b119,Panoche1a
b119,Panoche1b
b119,Repetto_Sst1
b119,Repetto_Sst2a
b119,Repetto_Sst2b
b119,Repetto_Sst2c
b119,Repetto_Sst3a
b119,Repetto_Sst3b
b119,Repetto_Sst3c
b119,Repetto_Sst3d
b119,Stevens1
b119,Temblor1a
b119,Temblor1b
b119,Temblor2a
b119,Temblor2b
b119,Temblor3a
b119,Temblor3b
b119,Temblor3c
b121,Moreno2
b121,Panoche1a
b121,Panoche1b
b121,Repetto_Sst1
b121,Repetto_Sst2a
b121,Repetto_Sst2b
b121,Repetto_Sst2c
b121,Repetto_Sst3a
b121,Repetto_Sst3b
b121,Repetto_Sst3c
b121,Repetto_Sst3d
b121,Stevens1
b121,Temblor1a
b121,Temblor1b
b121,Temblor2a
b121,Temblor2b
b121,Temblor3a
b121,Temblor3b
b121,Temblor3c
b124,Moreno2
b124,Panoche1a
b124,Panoche1b
b124,Repetto_Sst1
b124,Repetto_Sst2a
b124,Repetto_Sst2b
b124,Repetto_Sst2c
b124,Repetto_Sst3a
b124,Repetto_Sst3b
b124,Repetto_Sst3c
b124,Repetto_Sst3d
b124,Stevens1
b124,Temblor1a
b124,Temblor1b
b124,Temblor2a
b124,Temblor2b
b124,Temblor3a
b124,Temblor3b
b124,Temblor3c
b113,Moreno2
b113,Panoche1a
b113,Panoche1b
b113,Repetto_Sst1
b113,Repetto_Sst2a
b113,Repetto_Sst2b
b113,Repetto_Sst2c
b113,Repetto_Sst3a
b113,Repetto_Sst3b
b113,Repetto_Sst3c
b113,Repetto_Sst3d
b113,Stevens1
b113,Temblor1a
b113,Temblor1b
b113,Temblor2a
b113,Temblor2b
b113,Temblor3a
b113,Temblor3b
b113,Temblor3c
b120,Moreno2
b120,Panoche1a
b120,Panoche1b
b120,Repetto_Sst1
b120,Repetto_Sst2a
b120,Repetto_Sst2b
b120,Repetto_Sst2c
b120,Repetto_Sst3a
b120,Repetto_Sst3b
b120,Repetto_Sst3c
b120,Repetto_Sst3d
b120,Stevens1
b120,Temblor1a
b120,Temblor1b
b120,Temblor2a
b120,Temblor2b
b120,Temblor3a
b120,Temblor3b
b120,Temblor3c
b123,Moreno2
b123,Panoche1a
b123,Panoche1b
b123,Repetto_Sst1
b123,Repetto_Sst2a
b123,Repetto_Sst2b
b123,Repetto_Sst2c
b123,Repetto_Sst3a
b123,Repetto_Sst3b
b123,Repetto_Sst3c
b123,Repetto_Sst3d
b123,Stevens1
b123,Temblor1a
b123,Temblor1b
b123,Temblor2a
b123,Temblor2b
b123,Temblor3a
b123,Temblor3b
b123,Temblor3c
b217,Moreno2
b217,Panoche1a
b217,Panoche1b
b217,Repetto_Sst1
b217,Repetto_Sst2a
b217,Repetto_Sst2b
b217,Repetto_Sst2c
b217,Repetto_Sst3a
b217,Repetto_Sst3b
b217,Repetto_Sst3c
b217,Repetto_Sst3d
b217,Stevens1
b217,Temblor1a
b217,Temblor1b
b217,Temblor2a
b217,Temblor2b
b217,Temblor3a
b217,Temblor3b
b217,Temblor3c
b218,Moreno2
b218,Panoche1a
b218,Panoche1b
b218,Repetto_Sst1
b218,Repetto_Sst2a
b218,Repetto_Sst2b
b218,Repetto_Sst2c
b218,Repetto_Sst3a
b218,Repetto_Sst3b
b218,Repetto_Sst3c
b218,Repetto_Sst3d
b218,Stevens1
b218,Temblor1a
b218,Temblor1b
b218,Temblor2a
b218,Temblor2b
b218,Temblor3a
b218,Temblor3b
b218,Temblor3c
b220,Moreno2
b220,Panoche1a
b220,Panoche1b
b220,Repetto_Sst1
b220,Repetto_Sst2a
b220,Repetto_Sst2b
b220,Repetto_Sst2c
b220,Repetto_Sst3a
b220,Repetto_Sst3b
b220,Repetto_Sst3c
b220,Repetto_Sst3d
b220,Stevens1
b220,Temblor1a
b220,Temblor1b
b220,Temblor2a
b220,Temblor2b
b220,Temblor3a
b220,Temblor3b
b220,Temblor3c
b221,Moreno2
b221,Panoche1a
b221,Panoche1b
b221,Repetto_Sst1
b221,Repetto_Sst2a
b221,Repetto_Sst2b
b221,Repetto_Sst2c
b221,Repetto_Sst3a
b221,Repetto_Sst3b
b221,Repetto_Sst3c
b221,Repetto_Sst3d
b221,Stevens1
b221,Temblor1a
b221,Temblor1b
b221,Temblor2a
b221,Temblor2b
b221,Temblor3a
b221,Temblor3b
b221,Temblor3c
b315,Moreno2
b315,Panoche1a
b315,Panoche1b
b315,Repetto_Sst1
b315,Repetto_Sst2a
b315,Repetto_Sst2b
b315,Repetto_Sst2c
b315,Repetto_Sst3a
b315,Repetto_Sst3b
b315,Repetto_Sst3c
b315,Repetto_Sst3d
b315,Stevens1
b315,Temblor1a
b315,Temblor1b
b315,Temblor2a
b315,Temblor2b
b315,Temblor3a
b315,Temblor3b
b315,Temblor3c
b316,Moreno2
b316,Panoche1a
b316,Panoche1b
b316,Repetto_Sst1
b316,Repetto_Sst2a
b316,Repetto_Sst2b
b316,Repetto_Sst2c
b316,Repetto_Sst3a
b316,Repetto_Sst3b
b316,Repetto_Sst3c
b316,Repetto_Sst3d
b316,Stevens1
b316,Temblor1a
b316,Temblor1b
b316,Temblor2a
b316,Temblor2b
b316,Temblor3a
b316,Temblor3b
b316,Temblor3c
b317,Moreno2
b317,Panoche1a
b317,Panoche1b
b317,Repetto_Sst1
b317,Repetto_Sst2a
b317,Repetto_Sst2b
b317,Repetto_Sst2c
b317,Repetto_Sst3a
b317,Repetto_Sst3b
b317,Repetto_Sst3c
b317,Repetto_Sst3d
b317,Stevens1
b317,Temblor1a
b317,Temblor1b
b317,Temblor2a
b317,Temblor2b
b317,Temblor3a
b317,Temblor3b
b317,Temblor3c
b318,Moreno2
b318,Panoche1a
b318,Panoche1b
b318,Repetto_Sst1
b318,Repetto_Sst2a
b318,Repetto_Sst2b
b318,Repetto_Sst2c
b318,Repetto_Sst3a
b318,Repetto_Sst3b
b318,Repetto_Sst3c
b318,Repetto_Sst3d
b318,Stevens1
b318,Temblor1a
b318,Temblor1b
b318,Temblor2a
b318,Temblor2b
b318,Temblor3a
b318,Temblor3b
b318,Temblor3c
b319,Moreno2
b319,Panoche1a
b319,Panoche1b
b319,Repetto_Sst1
b319,Repetto_Sst2a
b319,Repetto_Sst2b
b319,Repetto_Sst2c
b319,Repetto_Sst3a
b319,Repetto_Sst3b
b319,Repetto_Sst3c
b319,Repetto_Sst3d
b319,Stevens1
b319,Temblor1a
b319,Temblor1b
b319,Temblor2a
b319,Temblor2b
b319,Temblor3a
b319,Temblor3b
b319,Temblor3c
b320,Moreno2
b320,Panoche1a
b320,Panoche1b
b320,Repetto_Sst1
b320,Repetto_Sst2a
b320,Repetto_Sst2b
b320,Repetto_Sst2c
b320,Repetto_Sst3a
b320,Repetto_Sst3b
b320,Repetto_Sst3c
b320,Repetto_Sst3d
b320,Stevens1
b320,Temblor1a
b320,Temblor1b
b320,Temblor2a
b320,Temblor2b
b320,Temblor3a
b320,Temblor3b
b320,Temblor3c
b321,Moreno2
b321,Panoche1a
b321,Panoche1b
b321,Repetto_Sst1
b321,Repetto_Sst2a
b321,Repetto_Sst2b
b321,Repetto_Sst2c
b321,Repetto_Sst3a
b321,Repetto_Sst3b
b321,Repetto_Sst3c
b321,Repetto_Sst3d
b321,Stevens1
b321,Temblor1a
b321,Temblor1b
b321,Temblor2a
b321,Temblor2b
b321,Temblor3a
b321,Temblor3b
b321,Temblor3c
b322,Moreno2
b322,Panoche1a
b322,Panoche1b
b322,Repetto_Sst1
b322,Repetto_Sst2a
b322,Repetto_Sst2b
b322,Repetto_Sst2c
b322,Repetto_Sst3a
b322,Repetto_Sst3b
b322,Repetto_Sst3c
b322,Repetto_Sst3d
b322,Stevens1
b322,Temblor1a
b322,Temblor1b
b322,Temblor2a
b322,Temblor2b
b322,Temblor3a
b322,Temblor3b
b322,Temblor3c
b323,Moreno2
b323,Panoche1a
b323,Panoche1b
b323,Repetto_Sst1
b323,Repetto_Sst2a
b323,Repetto_Sst2b
b323,Repetto_Sst2c
b323,Repetto_Sst3a
b323,Repetto_Sst3b
b323,Repetto_Sst3c
b323,Repetto_Sst3d
b323,Stevens1
b323,Temblor1a
b323,Temblor1b
b323,Temblor2a
b323,Temblor2b
b323,Temblor3a
b323,Temblor3b
b323,Temblor3c
b325,Moreno2
b325,Panoche1a
b325,Panoche1b
b325,Repetto_Sst1
b325,Repetto_Sst2a
b325,Repetto_Sst2b
b325,Repetto_Sst2c
b325,Repetto_Sst3a
b325,Repetto_Sst3b
b325,Repetto_Sst3c
b325,Repetto_Sst3d
b325,Stevens1
b325,Temblor1a
b325,Temblor1b
b325,Temblor2a
b325,Temblor2b
b325,Temblor3a
b325,Temblor3b
b325,Temblor3c
b122,Stevens1
b122,Temblor1a
b122,Temblor1b
b204,Monterey1a
b204,Monterey1b
b204,Moreno2
b204,Panoche1a
b204,Panoche1b
b204,Temblor2a
b204,Temblor2b
b204,Temblor3a
b204,Temblor3b
b204,Temblor3c
b213,Monterey1a
b213,Monterey1b
b213,Moreno2
b213,Panoche1a
b213,Panoche1b
b213,Temblor2a
b213,Temblor2b
b213,Temblor3a
b213,Temblor3b
b213,Temblor3c
b215,Monterey1a
b215,Monterey1b
b215,Moreno2
b215,Panoche1a
b215,Panoche1b
b215,Temblor2a
b215,Temblor2b
b215,Temblor3a
b215,Temblor3b
b215,Temblor3c
b216,Monterey1a
b216,Monterey1b
b216,Moreno2
b216,Panoche1a
b216,Panoche1b
b216,Temblor2a
b216,Temblor2b
b216,Temblor3a
b216,Temblor3b
b216,Temblor3c
b219,Monterey1a
b219,Monterey1b
b219,Moreno2
b219,Panoche1a
b219,Panoche1b
b219,Temblor2a
b219,Temblor2b
b219,Temblor3a
b219,Temblor3b
b219,Temblor3c
b222,Monterey1a
b222,Monterey1b
b222,Moreno2
b222,Panoche1a
b222,Panoche1b
b222,Temblor2a
b222,Temblor2b
b222,Temblor3a
b222,Temblor3b
b222,Temblor3c
b223,Monterey1a
b223,Monterey1b
b223,Moreno2
b223,Panoche1a
b223,Panoche1b
b223,Temblor2a
b223,Temblor2b
b223,Temblor3a
b223,Temblor3b
b223,Temblor3c
